Key,noTrim,profile,type,en-us,en-us-sfw
*,,,,Items,
beeB,,,item,"Honey bees are dying at an alarming rate, so do what you can to help save the bees! They are very important to our world!",
rice,,,item,"A worldwide staple food, rice is often known as ""the Grain of the East"" among people who are getting paid by the word to write flavor text.",
arborio,,,item,"Firm, yet chewy. This Italian rice is often used in rice pudding and risotto, a creamy dish cooked in broth. ",
blackrice,,,item,"Popular in South Asia, black rice has lots of nutrients and is used as an ingredient in various desserts. Unlike white rice, it is black.",
spear,,,item,Spearfishing is one of the oldest methods of fishing. Sometimes just throwing a pointy stick at something is an effective strategy.,
rod,,,item,"This fishing rod has a worm on the end to tempt fish to approach it. The early fish gets the worm, and the early fisherman gets the early fish!",
goodrod,,,item,"Sturdier than the average fishing rod, this rod is capable of catching big fish without snapping in half like in a cartoon.",
metalrod,,,item,"To catch a tough fish, you need a tough fishing rod. This is a tough fishing rod. So stop reading this and go catch some tough fish!",
net,,,item,"If you aren't picky, a good way of catching fish is just throwing a net out and settling for whatever gets caught in it. This also works for finding boyfriends.",
fodder,,,item,"A plant-based feed for livestock like cows. Cows, much like humans, need food to live. Remember to respect your bovine friends!",
beet,,,item,"A wise man once said ""eat your beets!"" and if you want a good amount of folate and manganese, you'd be wise to listen to him, too!",
apple,,,item,"An apple a day keeps the doctor away, but so does a gun.","An apple a day keeps the doctor away, but so does yelling really loudly and crying a lot."
carrot,,,item,"Contrary to the usual rule of ""if something rhymes it must be true,"" whole carrots are NOT a good food for ferrets. Cook or mash them first!",
leek,,,item,Why did the farmer call the plumber? Because her field sprung a leek! \n \n \n \n \n ...Because her field sprung a leek!,
lemon,,,item,"When life gives you lemons, make sure you wash any pesticides off of them first because capitalism poisons us all.",
rhubarb,,,item,I don't know that much about rhubarb but I do know there's nothing better in the winter than rhubarb pie after dinner.,
pineapple,,,item,"When life gives you pineapples, eat one every day to keep the pinedoctor away! That's how the old saying goes, right? Thanks.",
grapes,,,item,Tasty little purple eggs that you can smack on loudly in the waiting room of your therapist's office to piss off that guy who took your usual parking spot.,Tasty little purple eggs that you can smack on loudly in the waiting room of your therapist's office to annoy that guy who took your usual parking spot.
